product_id,product_name,price
279,Խոզի Շաուրմա Բագետ Հացով,1200
280,Խոզի Շնիցել,1100
281,Խոզի Սուկի Բեկոնով,1800
282,Խոտաբույսերով Թեյ,400
283,Խորոված Գառի Մատ,3188.57
284,Խորոված Գառի Չալաղաջ,3727.78
285,Խորոված Գառի Փափուկ,2800
286,Խորոված Դդմիկ Սունկ Բիբար,1500
287,Խորոված Թառափ Ամբողջական ,10000
288,Խորոված Թառափ Բաժին,1850
289,Խորոված Թոք ,1000
290,Խորոված Խաչապուրի,1200
291,Խորոված Խոզի Մատ ,3501.61
292,Խորոված Խոզի Չալաղաջ ,3696.98
293,Խորոված Խոզի Փափուկ ,3125.24
294,Խորոված Հավի,2200
295,Խորոված Հավի Ազդր,1700
296,Խորոված Հավի Բուդ ,1700
297,Խորոված Հավի Թևիկ ,1700
298,Խորոված Ճուտ ,1600
299,Խորոված Սիգ,1000
300,Խորոված Սիրտ,1000
301,Խորոված Սմբուկ Սունկ Բիբար,1400
302,Խորոված Սունկ,1100
303,Խորովածի Սոուս,200
304,Խրթխրթան Հավի Թևիկ,
305,Խրթխրթան Հավի Թևիկ ,1728
306,Ծաղկակաղամբ Փռում,647.06
307,Ծովախեցգետնով Աղցան,693.33
308,Ծովախեցգետնով Աղցան  Լանչի,300
309,Կաթ,187.5
310,Կալզոնե ,1200
311,Կախասնկով Ձվածեղ,750
312,Կակաո,300
313,Կաղամբով աղցան,483.33
314,Կաղամբով Աղցան  Լանչի,300
315,Կանաչիների Թարմ Փունջ,1058.33
316,Կապա Մակի,900
317,Կապույտ Ցիտրուս,600
318,Կապրեզե Սթայլ,2530
319,Կարագ,200
320,Կարաս Red 0.75,8800
321,Կարբոնառա Լանչի,300
322,Կարբոնառա Պենե,770
323,Կարբոնառա Պենե Փոքր Բաժին,450
324,Կարկանդակ Խնձորով,150
325,Կարկանդակ Կարտոֆիլով ,200
326,Կարկանդակ Մսով ,280
327,Կարմիր Թավիշ ,750
328,Կարմիր Լոբի Տապակած,400
329,Կարտոֆիլ Խյուս Լանչի,250
330,Կարտոֆիլ Պլեճ ,550
331,Կարտոֆիլ Սարդելկայով,743.75
332,Կարտոֆիլ Սնկով ,850
333,Կարտոֆիլ Ֆրի,601.43
334,Կարտոֆիլի Խյուս ,620.94
335,Կարտոֆիլի Խյուս Կես Բաժին,400
336,Կարտոֆիլի Ճմուռ,800
337,Կարտոֆիլի Ճմուռ Փոքր Բաժին,450
338,Կարտոֆիլի Չիփս,543.53
339,Կարտոֆիլի պլեճ,660
340,Կեսադիլիա Հավով,2222
341,Կեսադիլիա Հորթի Մսով,2940
342,Կեսար աղցան,2750
343,Կեսար Լանչի,300
344,Կեսար Պիցցա,2500
345,Կետչուպ,330
346,Կետչուպ Փոքր,100
347,Կերուսուս,1113.64
348,Կիտ-Կատ,150
349,Կիտրոն-Լայմ-Անանուխ,1300
350,Կծու Բիբար ,313.08
351,Կծու Հավի Թևիկ,1653.33
352,Կծու սոուս,100
353,"Կոկա Կոլա 0,5",450
354,Կոկա Կոլա 0.5,200
355,Կոկա Կոլա 1լ ,705.43
356,"Կոկա Կոլա Զեռո 0,5",450
357,Կոկա Կոլա Լցնովի 0.5լ,450.24
358,Կոկա Կոլա Լցնովի Փոքր,350.87
359,"Կոկա-Կոլա 0,25լ",385
360,Կոնյակ Արարատ Բաժին,1320
361,Կոտլետ Կիևյան ,850
