product,price
Կեսադիլիա Հավով,2222.00
Կեսադիլիա Հորթի Մսով,2940.00
Կեսար աղցան,2750.00
Կեսար Լանչի,300.00
Կեսար Պիցցա,2500.00
Կետչուպ,330.00
Կետչուպ Փոքր,100.00
Կերուսուս,1113.64
Կիտ-Կատ,150.00
Կիտրոն-Լայմ-Անանուխ,1300.00
Կծու Բիբար ,313.08
Կծու Հավի Թևիկ,1653.33
Կծու սոուս,100.00
"Կոկա Կոլա 0,5",450.00
Կոկա Կոլա 0.5,200.00
Կոկա Կոլա 1լ ,705.43
"Կոկա Կոլա Զեռո 0,5",450.00
Կոկա Կոլա Լցնովի 0.5լ,450.24
Կոկա Կոլա Լցնովի Փոքր,350.87
"Կոկա-Կոլա 0,25լ",385.00
Կոնյակ Արարատ Բաժին,1320.00
Կոտլետ Կիևյան ,850.00
Կոտլետ Կիևյան Լանչի,500.00
Կոտլետ Հավի ,646.63
Կոտլետ Հավի Լանչ,300.00
Կոտլետ Տնական,740.14
Կոտլետ Տնական Լանչ,500.00
Կորդոն Բլյու,1098.71
Կորեական Հավ,702.78
Կորեական Հավ Փոքր Բաժին,450.00
"Կորոնա 0,33լ Ապակե",1430.00
Կուպատի,650.00
Կվադրո Ֆորմաջի Պիցցա ,2320.91
Կրեպ ,303.75
Կրկնակի Սև Սուրճ ,400.00
Հաճար Սնկով ,633.33
Համեմված Կարագ,550.00
Հանքային Ջուր Բջնի 0.5 Պլ,250.00
Հանքային Ջուր Բջնի 1 Պլ,350.00
Հավ Ալֆռեդո,922.06
Հավ Ալֆռեդո Փոքր Բաժին,600.00
Հավ Կորեական Լանչի,300.00
Հավ Հնդկական,1050.00
Հավ Հնդկական Լանչի,300.00
Հավ Հնդկական Փոքր Բաժին,650.00
Հավի Ազդր  Փռում ,550.00
Հավի Բուդ Փռում ,700.00
Հավի Գրիլլ 1 Բաժին,500.00
Հավի Թևիկ Փռում,600.00
Հավի Իքիբիր,1100.00
Հավի Ծխեցված Կրծքամիս,950.00
Հավի Նագեթս,600.00
Հավի Շաուրմա Բագետ Հացով,1100.00
Հավի Շաուրմա Թոնրի Հացով,1199.01
Հավի Շնիցել,986.11
Հավի Ռուլետ Լավաշով,500.00
Հավի Ստրիպս,700.00
Հավի Ֆիլե Պանրով,1138.89
Հավի Ֆիլե Սերուցքով,2014.00
Հավով Աղցան,1092.47
Հավով Ապուր,850.00
Հատապտղային Սառը Թեյ,600.00
Հատապտղային Տաք Թեյ,950.00
Հարիսա,953.23
Հացի Տեսականի,550.00
Հացով Ձվածեղ,900.00
Հնդկաձավար,448.62
Հնդկաձավար Լանչի,250.00
Հոթ-Դոգ,200.00
Հոթ-Դոգ Պանրով,300.00
Հոնի  Կոմպոտ,250.00
Հոնի Կոմպոտ,428.57
Հորթի Իքիբիր,2000.00
Հորթի Խորոված,4612.50
Հորթի Մեդալյոն Կարտոֆիլով,5333.33
Հորթի Միս Սմբուկով ,1200.00
Հորթի Միս Սնկով ,1200.00
Հումուս,632.37
Հումուս Ավոկադոյով ,950.00
Հունական Աղցան,795.45
Հրաշք Աղցան,746.97
Հրաշք Աղցան  Լանչի,400.00
Ձաձիկի,585.34
Ձիթապտղի Տեսականի ,2090.00
Ձմերուկի Սառը Թեյ,600.00
ձու,100.00
Ձու Խաշած,130.00
Ձվածեղ,400.00
Ձվածեղ Բանջարեղենային ,550.00
Ձվածեղ Բաստուրմայով ,969.00
Ձվածեղ Երշիկով ,550.00
Ձվածեղ Խոզապուխտով,539.00
Ղաուրմա,2860.00
Ղաուրմա ,13000.00
Ղարս,600.00
Ճմուռ Կարտոֆիլ Լանչի,250.00
Մագուրո Մակի,1800.00
Մածնաբրդոշ Ապարան,400.00
Մածնաբրդոշ Դեգուստո 0.33լ,400.00
Մածնաբրդոշ Դեգուստո 0.5լ,550.00
Մածուն ,210.00
Մակառոն,300.00
Մակառոն Լանչ,250.00
Մակառոն Ֆլոտսկի,480.00
Մակառոն Ֆլոտսկի Փոքր Բաժին,550.00
Մակարոն Ֆլոտսկի,1000.00
Մակ-Հապալաս,950.00
Մայոնեզ ,200.00
Մայրաքաղաքային Աղցան,802.20
Մանգոյով Սառը Թեյ,600.00
Մարգարիտա Պիցցա ,2400.00
Մարիա Բանջարեղենով,1080.00
Մարիա Հավով Կոմբո,1500.00
Մարիա Սենդվիչ,1487.84
Մարիա Սենդվիչ Հավով,1500.00
Մարինատ Կծու Բիբար,250.00
Մեգրելական,2100.00
Մեգրելական Կտոր,450.00
Մեխիկո Աղցան,1980.00
Մեղրային Թխվածք,750.00
Մեղրիի Փախլավա,607.50
Մեքսիկական Աղցան,650.00
Մեքսիկանո,1078.85
Մեքսիկանո Լանչի,400.00
Մեքսիկանո Փոքր Բաժին,600.00
Միլանո Հաստ Խմորով,2400.00
Միլանո Պիցցա ,2300.00
Միկադո,800.00
Միմոզա,1100.00
Միս Ֆրանսիական Ձևով,3300.00
Միքս Ձվածեղ,700.00
Մոխիտո ,950.00
Մոխիտո Ելակով,1100.00
Մութաբալ,800.00
Մրգի Տեսականի,2625.00
Նարինջ Լայմ Անանուխ Ֆռեշ,1100.00
Նարինջ-Ելակ Ֆռեշ,1300.00
Նարինջ-Ելակ-Լայմ Ֆռեշ,1300.00
Նարինջ-Թուրինջ Ֆռեշ,1300.00
Նարինջի Ֆռեշ,1300.00
Նարինջով Դելիկատ,750.00
Նեսթլե,150.00
Նեսկաֆե Փոքր,250.00
"Նոյ 0,33",330.00
Նոյ Լիմոնադ 0.33,385.00
Նոր Կարտոֆիլ ,800.00
Նուտելլա,810.00
Նրբաբլիթ Բոլոնեզ Սոուսով ,500.00
Նրբաբլիթ Խոզապուխտ Պանրով ,500.00
Նրբաբլիթ Մսով,400.00
Նրբաբլիթ Վետչինա Պանրով,400.00
Նրբաբլիթի Լիստ Կիսաֆաբրիկատ,70.00
Նրբերշիկի Տեսականի,5720.00
Նրբերշիկի Տեսականի Մեծ,7480.00
Շաուրմա Խոզի ,1100.00
Շաուրմա Խոզի Ափսե,2000.00
Շաուրմա Խոզի Լավաշով,1496.33
Շաուրմա Խոզի Մեծ,1400.00
Շաուրմա Հավի,1000.00
Շաուրմա Հավի Ափսե ,1650.00
Շաուրմա Հավի Լավաշով,1400.00
Շաուրմա Հավի Մեծ,1300.00
Շիշ Թաուկ Կծու Սոուսով,1200.00
Շիշ Թաուկ Սխտորի Սոուսով,1200.00
Շոգեխաշած Բրոկոլլի,700.00
Շոթի Պուրի,230.00
Շոթի Պուրի 1 Բաժին,60.00
Ոլոռով Ձվածեղ,572.00
Ոչխարի Պանիր,527.78
Ոսկե Բանալի,700.00
Ոսպ Աջիկայով,550.00
Ոսպ Աջիկայով Կես Բաժին,300.00
Ոսպ Բրինձով,517.65
Ոսպով Ապուր,1100.00
Ուդոն Բանջարեղենով,1400.00
Ուդոն Ծովամթերքով,3500.00
Ուդոն Հավով,2200.00
Ուդոն Հորթի Մսով,2800.00
Ունագի Տառ-Տառ,3000.00
Չախոբիլի ,850.00
Չախոբիլի Լանչի,500.00
Չանախ Պանիր,550.00
Չեբուրեկի,500.00
Չերիով Աղցան,3300.00
Չիզ Ռոլ,2100.00
Չիզ Քեյք Դեգուստո ,963.57
Չիզ Քեյք Ելակով,1085.00
Չիզ Քեյք Շոկոլադե,1100.00
Չիզ Քեյք Պիստակով,1200.00
Չիքեն Դոմինո Պիցցա ,2453.33
Չիքեն Ռոլ,1800.00
Չոր Լավաշ ,220.00
Չորահաց,50.00
Պաղպաղակ,150.00
Պաղպաղակ Թարմ Մրգերով,700.00
Պաղպաղակ Շոկոլադե,450.55
Պաղպաղակ Վանիլային,450.00
Պանիր Լոռի,280.00
Պանրի Ձողիկներ ,1206.00
Պանրի Սոուս,200.00
Պանրի Տեսականի,2420.00
Պանրով Լահմաջո Տավարի ,899.44
Պասուց Դոլմա,500.00
Պաստա Ալֆռեդո,1400.00
Պաստա Ալֆռեդո Պենեյով,1800.00
Պաստա Արաբիատա,1100.00
Պաստա Կարբոնառա,1500.00
Պաստա Կարբոնառա Պենեյով,1900.00
Պաստա Կարբոնառա Սպագետտիով,1900.00
Պաստա Կվադրո Ֆորմաջի,1400.00
Պաստա Կվադրո Ֆորմաջի Պենեյով,1800.00
Պաստա Կվադրո Ֆորմաջի Սպագետտիով,1800.00
Պաստա Մարինառա (Ծովամթերքով),2800.00
Պաստա Մարինառա Սերուցքով ,2800.00
Պավլովա,800.00
Պելմենի,913.50
Պենե,400.00
Պեպեռոնի Հաստ Խմորով,2600.00
Պեպեռոնի Պիցցա ,2505.10
Պեպեռոնի Պիցցա կտոր,500.00
Պիռոգ Խնձորով,550.00
Պիռոգ Նարինջով,560.00
Պիցետտա Պրիմավեռա,550.00
Պիցցա Մարիանո ,2100.00
Պիցցա Մեքսիկական,2972.50
Պիցցա Պալերմո,2400.00
Պիցցա Պեպեռոնի,2750.00
Պիցցա Պրիմավեռա Մեծ,4100.00
Պիցցայի Տուփ Մեծ,200.00
Պիցցետա Իտալիանո,550.00
Պիցցետա Կեսար,550.00
Պիցցետա Կվադրո Ֆորմաջի,550.00
Պիցցետա Մարգարիտա,550.00
Պիցցետա Միլանո,550.00
Պիցցետա Չիքեն Դոմինո,550.00
Պիցցետա Պեպեռոնի ,550.44
Պլեճի Բրդուճ,550.00
Պոլիեթիլենային Մեծ Տոպրակ,40.00
Պոլիեթիլենային Միջին Տոպրակ,29.99
Պոլիեթիլենային Փոքր Տոպրակ,19.99
Պոնչիկ ,180.00
Պոնչիկ Շոկոլադե,200.00
Պրիմավեռա Հաստ Խմորով,2500.00
Պրիմավեռա Պիցցա ,2400.00
"Ջերմուկ 0,33լ",385.00
"Ջերմուկ 0,5լ",250.00
Ջերմուկ 1լ,400.00
Ջերմուկ Թիթեղյա 0.33,280.00
Ջուր ՀայԵմԵս 0.5լ,200.00
Ռամեն Հավով,1100.00
Ռանչ  Սոուս,200.00
